id,title,genres,averageRating,numVotes,releaseYear,Animated
tt0112175,Spider-Man: The Animated Series,"Action, Adventure",8.4,36476,1994,yes
tt2543312,Halt and Catch Fire,Drama,8.4,36026,2014,no
tt0105946,Babylon 5,"Action, Adventure, Drama",8.4,35203,1993,no
tt6439752,Snowfall,"Crime, Drama",8.4,34625,2017,no
tt0478942,Life on Mars,"Crime, Drama, Mystery",8.4,33263,2006,no
tt1883092,Generation War,"Action, Drama, History",8.4,33201,2013,no
tt4192812,Unforgotten,"Crime, Drama, Mystery",8.4,31868,2015,no
tt7078180,Violet Evergarden,"Drama, Family",8.4,31722,2018,yes
tt13433812,Vincenzo,"Action, Comedy, Crime",8.4,30924,2021,no
tt4378376,Babylon Berlin,"Crime, Drama, Thriller",8.4,30896,2017,no
tt0826760,The Killing,"Crime, Drama, Mystery",8.4,30674,2007,no
tt14168162,Bosch: Legacy,"Crime, Drama",8.4,29651,2022,no
tt8594324,Ghosts,"Comedy, Fantasy",8.4,28051,2019,no
tt6905542,The Dark Crystal: Age of Resistance,"Adventure, Family, Fantasy",8.4,27653,2019,no
tt0086659,'Allo 'Allo!,"Comedy, History, War",8.4,27474,1982,no
tt6205862,Inside Look: The People v. O.J. Simpson - American Crime Story,"Documentary, Short",8.4,27404,2016,no
tt0074028,The Muppet Show,"Comedy, Family, Musical",8.4,26656,1976,no
tt0163503,Top Gear,Documentary,8.4,25230,1978,no
tt0416394,The Mighty Boosh,"Comedy, Fantasy, Musical",8.4,24437,2003,no
tt0235923,Invader ZIM,"Action, Adventure",8.4,22938,2001,yes
tt0098878,Northern Exposure,"Comedy, Drama",8.4,22630,1990,no
tt0108872,My So-Called Life,"Comedy, Drama, Romance",8.4,22310,1994,no
tt0083466,Police Squad!,"Comedy, Crime",8.4,21258,1982,no
tt0408381,Doc Martin,"Comedy, Drama, Romance",8.4,20877,2004,no
tt0976192,The Spectacular Spider-Man,"Action, Adventure",8.4,20193,2008,yes
tt0118266,The New Batman Adventures,"Action, Adventure",8.4,19789,1997,yes
tt1734135,Trollhunters: Tales of Arcadia,"Action, Adventure",8.4,19573,2016,yes
tt2407574,My Mad Fat Diary,"Comedy, Drama, Romance",8.4,19199,2013,no
tt0075572,Roots,"Biography, Drama, History",8.4,19197,1977,no
tt0066626,All in the Family,"Comedy, Drama",8.4,19173,1971,no
tt8681148,This Is Going to Hurt,"Biography, Comedy, Drama",8.4,19093,2022,no
tt0053479,The Andy Griffith Show,"Comedy, Family",8.4,17514,1960,no
tt1553644,The Ricky Gervais Show,"Comedy, Talk-Show",8.4,17265,2010,yes
tt9174582,Brassic,"Comedy, Drama",8.4,14462,2019,no
tt17921714,A Small Light,"Biography, Drama, History",8.4,13831,2023,no
tt0924651,The Graham Norton Show,"Comedy, Music, Talk-Show",8.4,13449,2007,no
tt0098833,Jeeves and Wooster,Comedy,8.4,13298,1990,no
tt13409432,Ranking of Kings,"Action, Adventure",8.4,12948,2021,yes
tt10183988,Julie and the Phantoms,"Adventure, Comedy, Drama",8.4,12598,2020,no
tt0184135,The League of Gentlemen,"Comedy, Horror",8.4,12494,1999,no
tt0054533,The Dick Van Dyke Show,"Comedy, Family",8.4,12179,1961,no
tt5514358,Steins;Gate 0,"Drama, Mystery",8.4,12054,2018,yes
